election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Minneapolis_11062009_Ward1CityCouncil,0,,,,,,,,,,5,3,1,0,1469.0,1455.0,2500.0,4016.0,True,1455.0,1.996,Kevin Reich,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,1997.0,50.315,50.315,1
Minneapolis_11062009_Ward2CityCouncil,0,,,,,,,,,,2,3,0,0,2214.0,26.0,475.0,2842.0,True,437.0,1.186,Cam Gordon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,2260.0,84.046,84.046,1
Minneapolis_11062009_Ward3CityCouncil,0,,,,,,,,,,4,3,0,0,1062.0,641.0,1160.0,2257.0,True,641.0,1.811,Diane Hofstede,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0,1465.0,65.932,65.932,1
Minneapolis_11062009_Ward4CityCouncil,0.24951519069166128,,,,,,,,,,4,3,0,0,1416.0,1250.0,1883.0,3322.0,True,1250.0,1.95,Barbara A. Johnson,3,0.0,193.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,1546.0,1618.0,46.863,52.093,1
Minneapolis_11062009_Ward5CityCouncil,0.34097421203438394,,,,,,,,,,5,3,1,0,828.0,981.0,1342.0,2200.0,True,981.0,2.071,Don Samuels,5,0.0,146.0,0.0,0.0,129.0,0.0,17.0,14.0,3.0,1020.0,1131.0,47.005,55.879,1
Minneapolis_11062009_Ward6CityCouncil,0,,,,,,,,,,6,3,1,0,671.0,930.0,1259.0,1982.0,True,930.0,2.134,Robert Lilligren,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0,52.85,52.85,1
Minneapolis_11062009_Ward7CityCouncil,0,,,,,,,,,,3,3,0,0,2873.0,753.0,1519.0,4532.0,True,753.0,1.517,Lisa Goodman,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2997.0,2997.0,68.238,68.238,1
Minneapolis_11062009_Ward8CityCouncil,0,,,,,,,,,,5,3,1,0,1262.0,938.0,1834.0,3239.0,True,938.0,1.895,Elizabeth Glidden,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.0,2291.0,73.999,73.999,1
Minneapolis_11062009_Ward9CityCouncil,0,,,,,,,,,,4,3,0,0,1082.0,958.0,1913.0,3035.0,True,958.0,1.959,Gary Schiff,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.0,1818.0,60.701,60.701,1
Minneapolis_11072017_Mayor,0.6826026178675817,,,,,,,,,,18,3,1,101.0,13958.0,75459.0,90564.0,105928.0,True,75459.0,2.587,Jacob Frey,17,101.0,22810.0,82.0,0.0,10913.0,0.0,11815.0,10097.0,1718.0,26099.0,46692.0,24.985,57.187,1
